SiteName,Camera,lon,lat,date
Tabletop,BH02,151.85921,-30.91315996,2014/12/17 19:13:00
Paddysland,B12,152.244376,-30.068168,2014/12/17 19:28:00
Paddysland,SP05,152.239509,-30.03757,2014/12/17 19:57:00
Paddysland,W03,152.151558,-30.093735,2014/12/17 20:14:00
Tabletop,GD01,151.82572,-30.94370001,2014/12/17 20:38:00
Paddysland,SP02,152.249853,-30.062331,2014/12/17 20:41:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 21:30:00
Paddysland,W03,152.151558,-30.093735,2014/12/17 21:39:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/17 21:41:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/17 21:44:00
Tabletop,BM01,151.88528,-30.89772996,2014/12/17 21:53:00
Tabletop,BM01,151.88528,-30.89772996,2014/12/17 21:58:00
Tabletop,BM02,151.87666,-30.90362001,2014/12/17 22:15:00
Paddysland,B07,152.213125,-30.092584,2014/12/17 22:25:00
Tabletop,BH01,151.86538,-30.90326998,2014/12/17 22:35:00
Tabletop,GD01,151.82572,-30.94370001,2014/12/17 23:29:00
Tabletop,BH05,151.84947,-30.92443001,2014/12/17 23:30:00
Tabletop,RC03,151.8459,-30.96038,2014/12/17 23:47:00
Tabletop,RC03,151.8459,-30.96038,2014/12/17 23:48:00
Tabletop,BH13,151.84015,-30.92070996,2014/12/17 23:53:00
Paddysland,SP02,152.249853,-30.062331,2014/12/17 23:58:00
Tabletop,GD01,151.82572,-30.94370001,2014/12/18 00:38:00
Tabletop,RC03,151.8459,-30.96038,2014/12/18 00:48:00
Tabletop,BH10,151.82919,-30.93709004,2014/12/18 02:31:00
Tabletop,BH04,151.84659,-30.91619002,2014/12/18 02:34:00
Paddysland,B04,152.186567,-30.089872,2014/12/18 02:48:00
Paddysland,B03,152.17858,-30.083012,2014/12/18 03:19:00
Paddysland,B03,152.17858,-30.083012,2014/12/18 04:33:00
Paddysland,W03,152.151558,-30.093735,2014/12/18 04:46:00
Paddysland,B13,152.250721,-30.074394,2014/12/18 04:51:00
